,sec,mins,conc (ppm),C/C0
775,3940,65.66666667,3,0.000157629
776,3945,65.75,3,0.000157629
777,3950,65.83333333,3,0.000157629
778,3955,65.91666667,3,0.000157629
779,3960,66,3,0.000157629
780,3965,66.08333333,3,0.000157629
781,3970,66.16666667,3,0.000157629
782,3975,66.25,3,0.000157629
783,3980,66.33333333,3,0.000157629
784,3985,66.41666667,3,0.000157629
785,3990,66.5,3,0.000157629
786,3995,66.58333333,3,0.000157629
787,4000,66.66666667,3,0.000157629
788,4005,66.75,3,0.000157629
789,4010,66.83333333,3,0.000157629
790,4015,66.91666667,3,0.000157629
791,4020,67,3,0.000157629
792,4025,67.08333333,3,0.000157629
793,4030,67.16666667,3,0.000157629
794,4035,67.25,3,0.000157629
795,4040,67.33333333,3,0.000157629
796,4045,67.41666667,3,0.000157629
797,4050,67.5,3,0.000157629
798,4055,67.58333333,3,0.000157629
799,4060,67.66666667,3,0.000157629
800,4065,67.75,3,0.000157629
801,4070,67.83333333,3,0.000157629
802,4075,67.91666667,3,0.000157629
803,4080,68,3,0.000157629
804,4085,68.08333333,3,0.000157629
805,4090,68.16666667,3,0.000157629
806,4095,68.25,3,0.000157629
807,4100,68.33333333,3,0.000157629
808,4105,68.41666667,3,0.000157629
809,4110,68.5,3,0.000157629
810,4115,68.58333333,3,0.000157629
811,4120,68.66666667,3,0.000157629
812,4125,68.75,3,0.000157629
813,4130,68.83333333,3,0.000157629
814,4135,68.91666667,3,0.000157629
815,4140,69,3,0.000157629
816,4145,69.08333333,3,0.000157629
817,4150,69.16666667,3,0.000157629
818,4155,69.25,3,0.000157629
819,4160,69.33333333,3,0.000157629
820,4165,69.41666667,3,0.000157629
821,4170,69.5,3,0.000157629
822,4175,69.58333333,3,0.000157629
823,4180,69.66666667,3,0.000157629
824,4185,69.75,3,0.000157629
825,4190,69.83333333,3,0.000157629
826,4195,69.91666667,3,0.000157629
827,4200,70,3,0.000157629
828,4205,70.08333333,3,0.000157629
829,4210,70.16666667,3,0.000157629
830,4215,70.25,3,0.000157629
831,4220,70.33333333,3,0.000157629
832,4225,70.41666667,3,0.000157629
833,4230,70.5,3,0.000157629
834,4235,70.58333333,3,0.000157629
835,4240,70.66666667,3,0.000157629
836,4245,70.75,3,0.000157629
837,4250,70.83333333,3,0.000157629
838,4255,70.91666667,3,0.000157629
839,4260,71,3,0.000157629
840,4265,71.08333333,3,0.000157629
841,4270,71.16666667,3,0.000157629
842,4275,71.25,3,0.000157629
843,4280,71.33333333,3,0.000157629
844,4285,71.41666667,3,0.000157629
845,4290,71.5,3,0.000157629
846,4295,71.58333333,3,0.000157629
847,4300,71.66666667,3,0.000157629
848,4305,71.75,3,0.000157629
849,4310,71.83333333,3,0.000157629
850,4315,71.91666667,3,0.000157629
851,4320,72,3,0.000157629
852,4325,72.08333333,3,0.000157629
853,4330,72.16666667,3,0.000157629
854,4340,72.33333333,3,0.000157629
855,4345,72.41666667,3,0.000157629
856,4350,72.5,3,0.000157629
857,4355,72.58333333,3,0.000157629
858,4360,72.66666667,3,0.000157629
859,4365,72.75,3,0.000157629
860,4370,72.83333333,3,0.000157629
861,4375,72.91666667,3,0.000157629
862,4380,73,3,0.000157629
863,4385,73.08333333,4,0.000210172
864,4390,73.16666667,4,0.000210172
865,4400,73.33333333,4,0.000210172
866,4405,73.41666667,4,0.000210172
867,4410,73.5,4,0.000210172
868,4415,73.58333333,4,0.000210172
869,4420,73.66666667,4,0.000210172
870,4425,73.75,4,0.000210172
871,4430,73.83333333,4,0.000210172
872,4435,73.91666667,4,0.000210172
873,4440,74,5,0.000262715
874,4445,74.08333333,5,0.000262715
875,4450,74.16666667,5,0.000262715
876,4480,74.66666667,5,0.000262715
877,4485,74.75,6,0.000315259
878,4490,74.83333333,7,0.000367802
879,4495,74.91666667,7,0.000367802
880,4500,75,8,0.000420345
881,4505,75.08333333,8,0.000420345
882,4510,75.16666667,8,0.000420345
883,4515,75.25,9,0.000472888
884,4520,75.33333333,9,0.000472888
885,4525,75.41666667,10,0.000525431
886,4530,75.5,10,0.000525431
887,4535,75.58333333,11,0.000577974
888,4540,75.66666667,11,0.000577974
889,4545,75.75,12,0.000630517
890,4550,75.83333333,13,0.00068306
891,4555,75.91666667,13,0.00068306
892,4560,76,14,0.000735603
893,4565,76.08333333,15,0.000788146
894,4570,76.16666667,16,0.000840689
895,4575,76.25,17,0.000893232
896,4580,76.33333333,17,0.000893232
897,4585,76.41666667,19,0.000998319
898,4590,76.5,20,0.001050862
899,4595,76.58333333,21,0.001103405
900,4600,76.66666667,23,0.001208491
901,4605,76.75,24,0.001261034
902,4610,76.83333333,25,0.001313577
903,4615,76.91666667,28,0.001471206
904,4620,77,30,0.001576293
905,4625,77.08333333,31,0.001628836
906,4630,77.16666667,34,0.001786465
907,4635,77.25,37,0.001944094
908,4640,77.33333333,38,0.001996637
909,4645,77.41666667,41,0.002154266
910,4650,77.5,45,0.002364439
911,4655,77.58333333,47,0.002469525
912,4660,77.66666667,51,0.002679697
913,4665,77.75,55,0.00288987
914,4670,77.83333333,58,0.003047499
915,4675,77.91666667,63,0.003310214
916,4680,78,68,0.00357293
917,4685,78.08333333,72,0.003783102
918,4690,78.16666667,79,0.004150904
919,4695,78.25,87,0.004571248
920,4700,78.33333333,90,0.004728878
921,4705,78.41666667,98,0.005149222
922,4710,78.5,107,0.00562211
923,4715,78.58333333,113,0.005937369
924,4720,78.66666667,124,0.006515343
925,4725,78.75,133,0.00698823
926,4730,78.83333333,139,0.007303489
927,4735,78.91666667,153,0.008039092
928,4740,79,167,0.008774695
929,4745,79.08333333,175,0.00919504
930,4750,79.16666667,188,0.0098781
931,4755,79.25,205,0.010771332
932,4760,79.33333333,214,0.01124422
933,4765,79.41666667,234,0.012295082
934,4770,79.5,263,0.013818831
935,4775,79.58333333,281,0.014764607
936,4780,79.66666667,305,0.016025641
937,4785,79.75,325,0.017076503
938,4790,79.83333333,345,0.018127364
939,4795,79.91666667,367,0.019283312
940,4800,80,390,0.020491803
941,4805,80.08333333,414,0.021752837
942,4810,80.16666667,439,0.023066414
943,4815,80.25,465,0.024432535
944,4820,80.33333333,492,0.025851198
945,4825,80.41666667,531,0.027900378
946,4830,80.5,562,0.029529214
947,4835,80.58333333,593,0.03115805
948,4840,80.66666667,627,0.032944515
949,4845,80.75,661,0.034730979
950,4850,80.83333333,698,0.036675074
951,4855,80.91666667,735,0.038619168
952,4860,81,774,0.040668348
953,4865,81.08333333,828,0.043505675
954,4870,81.16666667,871,0.045765027
955,4875,81.25,915,0.048076923
956,4880,81.33333333,960,0.050441362
957,4885,81.41666667,1007,0.052910887
958,4890,81.5,1056,0.055485498
959,4895,81.58333333,1107,0.058165195
960,4900,81.66666667,1159,0.060897436
961,4905,81.75,1213,0.063734763
962,4910,81.83333333,1287,0.067622951
963,4915,81.91666667,1345,0.07067045
964,4920,82,1403,0.073717949
965,4925,82.08333333,1463,0.076870534
966,4930,82.16666667,1524,0.080075662
967,4935,82.25,1588,0.08343842
968,4940,82.33333333,1654,0.086906263
969,4945,82.41666667,1722,0.090479193
970,4950,82.5,1816,0.095418243
971,4955,82.58333333,1889,0.099253888
972,4960,82.66666667,1963,0.103142077
973,4965,82.75,2040,0.107187894
974,4970,82.83333333,2119,0.111338798
975,4975,82.91666667,2199,0.115542245
976,4980,83,2281,0.119850778
977,4985,83.08333333,2365,0.124264397
978,4990,83.16666667,2479,0.130254309
979,4995,83.25,2566,0.134825557
980,5000,83.33333333,2655,0.139501892
981,5005,83.41666667,2746,0.144283312
982,5010,83.5,2837,0.149064733
983,5015,83.58333333,2930,0.15395124
984,5020,83.66666667,3023,0.158837747
985,5025,83.75,3120,0.163934426
986,5030,83.83333333,3216,0.168978562
987,5035,83.91666667,3374,0.17728037
988,5040,84,3510,0.18442623
989,5045,84.08333333,3639,0.191204288
990,5050,84.16666667,3770,0.198087432
991,5055,84.25,3894,0.204602774
992,5060,84.33333333,4018,0.211118117
993,5065,84.41666667,4141,0.217580916
994,5070,84.5,4260,0.223833544
995,5075,84.58333333,4418,0.232135351
996,5080,84.66666667,4534,0.238230349
997,5085,84.75,4649,0.244272804
998,5090,84.83333333,4764,0.250315259
999,5095,84.91666667,4878,0.25630517
1000,5100,85,4990,0.262189996
1001,5105,85.08333333,5104,0.268179908
1002,5110,85.16666667,5216,0.274064733
1003,5115,85.25,5366,0.281946196
1004,5120,85.33333333,5477,0.287778478
1005,5125,85.41666667,5589,0.293663304
1006,5130,85.5,5703,0.299653216
1007,5135,85.58333333,5816,0.305590584
1008,5140,85.66666667,5930,0.311580496
1009,5145,85.75,6044,0.317570408
1010,5150,85.83333333,6159,0.323612863
1011,5155,85.91666667,6273,0.329602774
1012,5160,86,6429,0.337799496
1013,5165,86.08333333,6545,0.343894494
1014,5170,86.16666667,6662,0.350042035
1015,5175,86.25,6780,0.356242119
1016,5180,86.33333333,6898,0.362442203
1017,5185,86.41666667,7018,0.368747373
1018,5190,86.5,7138,0.375052543
1019,5195,86.58333333,7258,0.381357713
1020,5200,86.66666667,7419,0.38981715
1021,5205,86.75,7540,0.396174863
1022,5210,86.83333333,7662,0.40258512
1023,5215,86.91666667,7783,0.408942833
1024,5220,87,7906,0.415405633
1025,5225,87.08333333,8028,0.421815889
1026,5230,87.16666667,8151,0.428278689
1027,5235,87.25,8274,0.434741488
1028,5240,87.33333333,8396,0.441151744
1029,5245,87.41666667,8559,0.449716267
1030,5250,87.5,8683,0.45623161
1031,5255,87.58333333,8806,0.462694409
1032,5260,87.66666667,8929,0.469157209
1033,5265,87.75,9049,0.475462379
1034,5270,87.83333333,9173,0.481977722
1035,5275,87.91666667,9294,0.488335435
1036,5280,88,9413,0.494588062
1037,5285,88.08333333,9572,0.502942413
1038,5290,88.16666667,9692,0.509247583
1039,5295,88.25,9809,0.515395124
1040,5300,88.33333333,9929,0.521700294
1041,5305,88.41666667,10043,0.527690206
1042,5310,88.5,10159,0.533785204
1043,5315,88.58333333,10273,0.539775116
1044,5320,88.66666667,10384,0.545607398
1045,5325,88.75,10535,0.553541404
1046,5330,88.83333333,10644,0.5592686
1047,5335,88.91666667,10756,0.565153426
1048,5340,89,10863,0.570775536
1049,5345,89.08333333,10969,0.576345103
1050,5350,89.16666667,11074,0.581862127
1051,5355,89.25,11177,0.587274065
1052,5360,89.33333333,11280,0.592686003
1053,5365,89.41666667,11379,0.597887768
1054,5370,89.5,11514,0.604981085
1055,5375,89.58333333,11611,0.610077764
1056,5380,89.66666667,11707,0.6151219
1057,5385,89.75,11802,0.620113493
1058,5390,89.83333333,11894,0.624947457
1059,5395,89.91666667,11986,0.629781421
1060,5400,90,12077,0.634562842
1061,5405,90.08333333,12166,0.639239176
1062,5410,90.16666667,12283,0.645386717
1063,5415,90.25,12370,0.649957966
1064,5420,90.33333333,12456,0.654476671
1065,5425,90.41666667,12536,0.658680118
1066,5430,90.5,12618,0.662988651
1067,5435,90.58333333,12701,0.667349727
1068,5440,90.66666667,12780,0.671500631
1069,5445,90.75,12856,0.675493905
1070,5450,90.83333333,12933,0.679539723
1071,5455,90.91666667,13031,0.684688945
1072,5460,91,13106,0.688629676
1073,5465,91.08333333,13176,0.692307692
1074,5470,91.16666667,13247,0.696038251
1075,5475,91.25,13317,0.699716267
1076,5480,91.33333333,13387,0.703394283
1077,5485,91.41666667,13455,0.706967213
1078,5490,91.5,13518,0.710277428
1079,5495,91.58333333,13609,0.715058848
1080,5500,91.66666667,13672,0.718369063
1081,5505,91.75,13734,0.721626734
1082,5510,91.83333333,13795,0.724831862
1083,5515,91.91666667,13859,0.72819462
1084,5520,92,13916,0.731189576
1085,5525,92.08333333,13974,0.734237074
1086,5530,92.16666667,14034,0.73738966
1087,5535,92.25,14113,0.741540563
1088,5540,92.33333333,14170,0.744535519
1089,5545,92.41666667,14221,0.747215217
1090,5550,92.5,14276,0.750105086
1091,5555,92.58333333,14330,0.752942413
1092,5560,92.66666667,14381,0.75562211
1093,5565,92.75,14436,0.75851198
1094,5570,92.83333333,14487,0.761191677
1095,5575,92.91666667,14535,0.763713745
1096,5580,93,14601,0.767181589
1097,5585,93.08333333,14649,0.769703657
1098,5590,93.16666667,14700,0.772383354
1099,5595,93.25,14747,0.774852879
1100,5600,93.33333333,14793,0.777269861
1101,5605,93.41666667,14840,0.779739386
1102,5610,93.5,14885,0.782103825
1103,5615,93.58333333,14928,0.784363178
1104,5620,93.66666667,14987,0.78746322
1105,5625,93.75,15030,0.789722573
1106,5630,93.83333333,15065,0.791561581
1107,5635,93.91666667,15113,0.794083649
1108,5640,94,15157,0.796395544
1109,5645,94.08333333,15198,0.798549811
1110,5650,94.16666667,15238,0.800651534
1111,5655,94.25,15278,0.802753258
1112,5660,94.33333333,15326,0.805275326
1113,5665,94.41666667,15366,0.807377049
1114,5670,94.5,15406,0.809478773
1115,5675,94.58333333,15444,0.81147541
1116,5680,94.66666667,15478,0.813261875
1117,5685,94.75,15514,0.815153426
1118,5690,94.83333333,15552,0.817150063
1119,5695,94.91666667,15588,0.819041614
1120,5700,95,15624,0.820933165
1121,5705,95.08333333,15668,0.823245061
1122,5710,95.16666667,15702,0.825031526
1123,5715,95.25,15738,0.826923077
1124,5720,95.33333333,15768,0.82849937
1125,5725,95.41666667,15802,0.830285834
1126,5730,95.5,15832,0.831862127
1127,5735,95.58333333,15864,0.833543506
1128,5740,95.66666667,15896,0.835224884
1129,5745,95.75,15938,0.837431694
1130,5750,95.83333333,15968,0.839007987
1131,5755,95.91666667,15998,0.840584279
1132,5760,96,16027,0.842108029
1133,5765,96.08333333,16058,0.843736864
1134,5770,96.16666667,16086,0.845208071
1135,5775,96.25,16115,0.84673182
1136,5780,96.33333333,16143,0.848203027
1137,5785,96.41666667,16171,0.849674233
1138,5790,96.5,16206,0.851513241
1139,5795,96.58333333,16235,0.85303699
1140,5800,96.66666667,16263,0.854508197
1141,5805,96.75,16287,0.855769231
1142,5810,96.83333333,16315,0.857240437
1143,5815,96.91666667,16341,0.858606557
1144,5820,97,16367,0.859972678
1145,5825,97.08333333,16393,0.861338798
1146,5830,97.16666667,16427,0.863125263
1147,5835,97.25,16449,0.864281211
1148,5840,97.33333333,16474,0.865594788
1149,5845,97.41666667,16498,0.866855822
1150,5850,97.5,16521,0.868064313
1151,5855,97.58333333,16546,0.86937789
1152,5860,97.66666667,16570,0.870638924
1153,5865,97.75,16592,0.871794872
1154,5870,97.83333333,16622,0.873371164
1155,5875,97.91666667,16646,0.874632198
1156,5880,98,16668,0.875788146
1157,5885,98.08333333,16692,0.87704918
1158,5890,98.16666667,16711,0.878047499
1159,5895,98.25,16733,0.879203447
1160,5900,98.33333333,16755,0.880359395
1161,5905,98.41666667,16777,0.881515343
1162,5910,98.5,16799,0.882671291
1163,5915,98.58333333,16824,0.883984868
1164,5920,98.66666667,16845,0.885088272
1165,5925,98.75,16865,0.886139134
1166,5930,98.83333333,16887,0.887295082
1167,5935,98.91666667,16907,0.888345944
1168,5940,99,16925,0.889291719
1169,5945,99.08333333,16944,0.890290038
1170,5950,99.16666667,16964,0.8913409
1171,5955,99.25,16991,0.892759563
1172,5960,99.33333333,17009,0.893705338
1173,5965,99.41666667,17027,0.894651114
1174,5970,99.5,17046,0.895649433
1175,5975,99.58333333,17065,0.896647751
1176,5980,99.66666667,17082,0.897540984
1177,5985,99.75,17101,0.898539302
1178,5990,99.83333333,17117,0.899379992
1179,5995,99.91666667,17140,0.900588483
1180,6000,100,17154,0.901324086
1181,6005,100.0833333,17172,0.902269861
1182,6010,100.1666667,17189,0.903163094
1183,6015,100.25,17205,0.904003783
1184,6020,100.3333333,17221,0.904844473
1185,6025,100.4166667,17239,0.905790248
1186,6030,100.5,17255,0.906630937
1187,6035,100.5833333,17270,0.907419084
1188,6040,100.6666667,17293,0.908627575
1189,6045,100.75,17308,0.909415721
1190,6050,100.8333333,17323,0.910203867
1191,6055,100.9166667,17339,0.911044557
1192,6060,101,17354,0.911832703
1193,6065,101.0833333,17369,0.912620849
1194,6070,101.1666667,17384,0.913408995
1195,6075,101.25,17398,0.914144599
1196,6080,101.3333333,17420,0.915300546
1197,6085,101.4166667,17433,0.915983607
1198,6090,101.5,17447,0.91671921
1199,6095,101.5833333,17462,0.917507356
1200,6100,101.6666667,17476,0.918242959
1201,6105,101.75,17491,0.919031106
1202,6110,101.8333333,17504,0.919714166
1203,6115,101.9166667,17519,0.920502312
1204,6120,102,17532,0.921185372
1205,6125,102.0833333,17550,0.922131148
1206,6130,102.1666667,17564,0.922866751
1207,6135,102.25,17578,0.923602354
1208,6140,102.3333333,17589,0.924180328
1209,6145,102.4166667,17604,0.924968474
1210,6150,102.5,17615,0.925546448
1211,6155,102.5833333,17629,0.926282051
1212,6160,102.6666667,17642,0.926965111
1213,6165,102.75,17658,0.927805801
1214,6170,102.8333333,17672,0.928541404
1215,6175,102.9166667,17684,0.929171921
1216,6180,103,17695,0.929749895
1217,6185,103.0833333,17708,0.930432955
1218,6190,103.1666667,17719,0.931010929
1219,6195,103.25,17733,0.931746532
1220,6200,103.3333333,17743,0.932271963
1221,6205,103.4166667,17760,0.933165196
1222,6210,103.5,17773,0.933848256
1223,6215,103.5833333,17784,0.93442623
1224,6220,103.6666667,17796,0.935056747
1225,6225,103.75,17808,0.935687264
1226,6230,103.8333333,17820,0.936317781
1227,6235,103.9166667,17829,0.936790668
1228,6240,104,17843,0.937526272
1229,6245,104.0833333,17854,0.938104246
1230,6250,104.1666667,17870,0.938944935
1231,6255,104.25,17883,0.939627995
1232,6260,104.3333333,17893,0.940153426
1233,6265,104.4166667,17904,0.9407314
1234,6270,104.5,17914,0.941256831
1235,6275,104.5833333,17925,0.941834805
1236,6280,104.6666667,17937,0.942465322
1237,6285,104.75,17948,0.943043296
1238,6290,104.8333333,17964,0.943883985
1239,6295,104.9166667,17974,0.944409416
1240,6300,105,17986,0.945039933
1241,6305,105.0833333,17996,0.945565364
1242,6310,105.1666667,18006,0.946090795
1243,6315,105.25,18016,0.946616225
1244,6320,105.3333333,18027,0.947194199
1245,6325,105.4166667,18039,0.947824716
1246,6330,105.5,18048,0.948297604
1247,6335,105.5833333,18062,0.949033207
1248,6340,105.6666667,18073,0.949611181
1249,6345,105.75,18082,0.950084069
1250,6350,105.8333333,18093,0.950662043
1251,6355,105.9166667,18103,0.951187474
1252,6360,106,18113,0.951712905
1253,6365,106.0833333,18123,0.952238335
1254,6370,106.1666667,18133,0.952763766
1255,6375,106.25,18145,0.953394283
1256,6380,106.3333333,18156,0.953972257
1257,6385,106.4166667,18166,0.954497688
1258,6390,106.5,18177,0.955075662
1259,6395,106.5833333,18187,0.955601093
1260,6400,106.6666667,18197,0.956126524
1261,6405,106.75,18206,0.956599412
1262,6410,106.8333333,18215,0.957072299
1263,6415,106.9166667,18228,0.957755359
1264,6420,107,18238,0.95828079
1265,6425,107.0833333,18248,0.958806221
1266,6430,107.1666667,18257,0.959279109
1267,6435,107.25,18266,0.959751997
1268,6440,107.3333333,18277,0.960329971
1269,6445,107.4166667,18286,0.960802858
1270,6450,107.5,18295,0.961275746
1271,6455,107.5833333,18306,0.96185372
1272,6460,107.6666667,18316,0.962379151
1273,6465,107.75,18326,0.962904582
1274,6470,107.8333333,18334,0.963324926
1275,6475,107.9166667,18345,0.9639029
1276,6480,108,18354,0.964375788
1277,6485,108.0833333,18362,0.964796133
1278,6490,108.1666667,18372,0.965321564
1279,6495,108.25,18380,0.965741908
1280,6500,108.3333333,18393,0.966424969
1281,6505,108.4166667,18400,0.96679277
1282,6510,108.5,18409,0.967265658
1283,6515,108.5833333,18418,0.967738546
1284,6520,108.6666667,18427,0.968211433
1285,6525,108.75,18436,0.968684321
1286,6530,108.8333333,18444,0.969104666
1287,6535,108.9166667,18453,0.969577554
1288,6540,109,18465,0.970208071
1289,6545,109.0833333,18473,0.970628415
1290,6550,109.1666667,18482,0.971101303
1291,6555,109.25,18490,0.971521648
1292,6560,109.3333333,18499,0.971994536
1293,6565,109.4166667,18506,0.972362337
1294,6570,109.5,18514,0.972782682
1295,6575,109.5833333,18522,0.973203027
1296,6580,109.6666667,18532,0.973728457
1297,6585,109.75,18544,0.974358974
1298,6590,109.8333333,18551,0.974726776
1299,6595,109.9166667,18559,0.975147121
1300,6600,110,18566,0.975514922
1301,6605,110.0833333,18574,0.975935267
1302,6610,110.1666667,18583,0.976408155
1303,6615,110.25,18592,0.976881043
1304,6620,110.3333333,18600,0.977301387
1305,6625,110.4166667,18609,0.977774275
1306,6630,110.5,18618,0.978247163
1307,6635,110.5833333,18626,0.978667507
1308,6640,110.6666667,18634,0.979087852
1309,6645,110.75,18641,0.979455654
1310,6650,110.8333333,18649,0.979875998
1311,6655,110.9166667,18657,0.980296343
1312,6660,111,18665,0.980716688
1313,6665,111.0833333,18672,0.981084489
1314,6670,111.1666667,18680,0.981504834
1315,6675,111.25,18690,0.982030265
1316,6680,111.3333333,18697,0.982398066
1317,6685,111.4166667,18704,0.982765868
1318,6690,111.5,18712,0.983186213
1319,6695,111.5833333,18720,0.983606557
1320,6700,111.6666667,18728,0.984026902
1321,6705,111.75,18736,0.984447247
1322,6710,111.8333333,18746,0.984972678
1323,6715,111.9166667,18753,0.985340479
1324,6720,112,18762,0.985813367
1325,6725,112.0833333,18769,0.986181169
1326,6730,112.1666667,18774,0.986443884
1327,6735,112.25,18784,0.986969315
1328,6740,112.3333333,18790,0.987284573
1329,6745,112.4166667,18797,0.987652375
1330,6750,112.5,18807,0.988177806
1331,6755,112.5833333,18815,0.988598151
1332,6760,112.6666667,18822,0.988965952
1333,6765,112.75,18829,0.989333754
1334,6770,112.8333333,18837,0.989754098
1335,6775,112.9166667,18844,0.9901219
1336,6780,113,18850,0.990437159
1337,6785,113.0833333,18857,0.99080496
1338,6790,113.1666667,18863,0.991120219
1339,6795,113.25,18872,0.991593106
1340,6800,113.3333333,18878,0.991908365
1341,6805,113.4166667,18885,0.992276167
1342,6810,113.5,18893,0.992696511
1343,6815,113.5833333,18900,0.993064313
1344,6820,113.6666667,18907,0.993432114
1345,6825,113.75,18914,0.993799916
1346,6830,113.8333333,18920,0.994115174
1347,6835,113.9166667,18929,0.994588062
1348,6840,114,18936,0.994955864
1349,6845,114.0833333,18944,0.995376209
1350,6875,114.5833333,18858,0.990857503
1351,6880,114.6666667,18862,0.991067676
1352,6885,114.75,18867,0.991330391
1353,6890,114.8333333,18871,0.991540563
1354,6895,114.9166667,18876,0.991803279
1355,6900,115,18881,0.992065994
1356,6905,115.0833333,18886,0.99232871
1357,6910,115.1666667,18893,0.992696511
1358,6915,115.25,18899,0.99301177
1359,6920,115.3333333,18906,0.993379571
1360,6925,115.4166667,18913,0.993747373
1361,6930,115.5,18918,0.994010088
1362,6935,115.5833333,18925,0.99437789
1363,6940,115.6666667,18930,0.994640605
1364,6945,115.75,18936,0.994955864
1365,6950,115.8333333,18942,0.995271122
1366,6955,115.9166667,18948,0.995586381
1367,6960,116,18955,0.995954182
1368,6965,116.0833333,18961,0.996269441
1369,6970,116.1666667,18967,0.9965847
1370,6975,116.25,18973,0.996899958
1371,6980,116.3333333,18978,0.997162673
1372,6985,116.4166667,18984,0.997477932
1373,6990,116.5,18989,0.997740647
1374,6995,116.5833333,18995,0.998055906
1375,7000,116.6666667,19000,0.998318621
1376,7005,116.75,19007,0.998686423
1377,7010,116.8333333,19013,0.999001681
1378,7015,116.9166667,19020,0.999369483
1379,7020,117,19026,0.999684742
1380,7025,117.0833333,19032,1
